constant folder exists!
system folder exists!
constant/polyMesh folder exists!
Everything is clear!
I am the mesh constructor
Mesh was read successfully!


 Cell Volumes            Cell Centers
0.00661197          [ 0.00479369 0.00200694 0.000550169 ]

0.0036782          [ 0.0145933 0.00126346 0.00102652 ]

0.00690545          [ 0.00728014 0.00777317 0.000546778 ]

0.000472731          [ 0.00983069 0.00262882 0.00798709 ]

0.00494604          [ 0.000251256 0.0101642 0.000763388 ]

0.00496922          [ 0.0102624 0.000265238 0.000771462 ]

0.00712934          [ 0.00763646 0.00715298 0.000537717 ]

0.000474533          [ 0.00277752 0.0100412 0.0080786 ]

0.00373877          [ 0.00127446 0.0145617 0.00102536 ]

0.00389978          [ 0.00700508 0.0117082 0.000839786 ]

0.00267563          [ 0.000738748 0.01021 0.001224 ]

0.00559753          [ 0.00815707 0.00362978 0.000585076 ]

0.00185001          [ 0.0109826 0.00106844 0.00177025 ]

0.00798075          [ 0.00374182 0.00423205 0.000310422 ]

0.0087539          [ 0.00025817 0.00341135 0.000283006 ]

0.00145479          [ 0.0232164 0.00424281 0.00170293 ]

1.80175e-05          [ 0.342577 0.125433 0.1375 ]

0.00851784          [ 0.00569991 0.0046114 0.000513337 ]

0.00926815          [ 0.00584392 0.00459698 0.00051291 ]

0.00491072          [ 0.00799867 0.0030646 0.000890404 ]

0.00559187          [ 0.00434938 0.00868242 0.000781943 ]

0.00149384          [ 0.0285209 0.0100297 0.00318223 ]

0.00982581          [ 0.00270101 0.00551225 0.0004838 ]

3.18002e-05          [ 0.473249 0.764812 0.1375 ]

0.00127223          [ 0.0117768 0.0208607 0.00373654 ]

0.0029531          [ 0.00605259 0.00920948 0.00105443 ]

0.00511477          [ 0.00517193 0.00702093 0.000539975 ]

0.00211749          [ 0.0020127 0.0124927 0.0013043 ]

0.00415267          [ 0.00864757 0.00330369 0.000665078 ]

0.00120555          [ 0.0113799 0.0035352 0.00229094 ]

1.79444e-05          [ 1.30522 1.76236 0.1375 ]

0.00153421          [ 0.00277943 0.015266 0.00160822 ]

1.79444e-05          [ 1.76236 0.694784 0.1375 ]

0.00240665          [ 0.00518044 0.00177186 0.00102523 ]

0.00354174          [ 0.00630303 0.00946203 0.000836113 ]

0.0026661          [ 0.00358627 0.00837317 0.00111072 ]

0.00356431          [ 0.00948664 0.00587663 0.00083842 ]

0.00241927          [ 0.00889914 0.00410568 0.00126912 ]

0.00573285          [ 0.00850423 0.00670647 0.000616968 ]

0.00114409          [ 0.0391388 0.0301242 0.00283869 ]

0.00368766          [ 0.0104259 0.000730439 0.000959142 ]

2.36197e-05          [ 1.45915 0.104204 0.1375 ]

0.00394945          [ 0.00329156 0.0123444 0.000895564 ]

0.00494239          [ 0.00258472 0.00906001 0.000657113 ]

0.0012776          [ 0.00210834 0.0101752 0.00276847 ]

0.00271518          [ 0.000906485 0.00470493 0.00119613 ]

0.00376403          [ 0.00721541 0.00501725 0.000771837 ]

0.00766401          [ 0.00348459 0.00245314 0.000367887 ]

0.00392771          [ 0.00593187 0.00511113 0.000694024 ]

0.0045462          [ 0.00469354 0.0100873 0.000794322 ]

0.00174366          [ 0.00382338 0.0122373 0.00207101 ]

0.00471083          [ 0.00973482 0.00662049 0.000766563 ]

0.00276864          [ 0.0112647 0.00240792 0.0013043 ]

0.00482631          [ 0.00659165 0.0108175 0.000857954 ]

0.00291425          [ 0.00275217 0.0109165 0.00142086 ]

0.00462689          [ 0.0112837 0.00614144 0.000894933 ]

0.00266207          [ 0.0106743 0.00301289 0.00155547 ]

0.00212767          [ 0.00675319 0.00891821 0.00129953 ]

0.00405467          [ 0.00784153 0.00761845 0.000803896 ]

0.00835883          [ 0.00410704 0.00391061 0.000410003 ]

0.00338997          [ 0.00513257 0.00983125 0.00100889 ]

0.00555448          [ 0.00318683 0.00636507 0.000635723 ]

0.00278147          [ 0.0111057 0.00561451 0.00117187 ]

0.00199452          [ 0.00801749 0.00849502 0.0016701 ]

0.00255549          [ 0.0127913 0.00607293 0.00134109 ]

0.000225522          [ 0.0707532 0.0781998 0.0156026 ]

2.29357e-05          [ 1.15244 0.993044 0.1375 ]

0.00285549          [ 0.00739787 0.00657693 0.00102564 ]

0.00455127          [ 0.00525055 0.00743041 0.000735501 ]

0.00190036          [ 0.00710768 0.0114611 0.00160626 ]

0.00156417          [ 0.024505 0.00155551 0.00200403 ]

2.27975e-05          [ 1.89327 1.68133 0.1375 ]

0.00113471          [ 0.00214425 0.00640238 0.00276251 ]

2.27975e-05          [ 0.318669 1.89327 0.1375 ]

0.00527086          [ 0.00856603 0.00735866 0.000661936 ]

0.00334968          [ 0.0115792 0.0016713 0.00104158 ]

0.00451902          [ 0.00264707 0.00999119 0.000772064 ]

0.00106104          [ 0.00527623 0.011274 0.00328825 ]

0.00541016          [ 0.00498619 0.00744856 0.000612218 ]

0.0022201          [ 0.00354915 0.0121508 0.00149191 ]

0.00376429          [ 0.0107053 0.00563222 0.000879899 ]

0.00235139          [ 0.0090165 0.00335098 0.00140861 ]

0.00635045          [ 0.00687666 0.00713359 0.000542387 ]

0.00371606          [ 0.0121907 0.00173048 0.000926896 ]

0.00405478          [ 0.00118351 0.01077 0.000849468 ]

0.000812034          [ 0.00791908 0.00590972 0.0042417 ]

2.28751e-05          [ 0.966613 0.854965 0.1375 ]

0.00430177          [ 0.00898785 0.00810129 0.000702802 ]

0.0029831          [ 0.0116825 0.00178053 0.00101348 ]

0.00444895          [ 0.00205111 0.00869052 0.000679552 ]

0.000745935          [ 0.00712059 0.0122334 0.00405303 ]

0.0102558          [ 0.00322557 0.00427831 0.000353705 ]

0.00316112          [ 0.00281121 0.0104649 0.00114755 ]

0.00770554          [ 0.0056943 0.00255443 0.00047077 ]

2.63821e-05          [ 0.746086 0.336841 0.1375 ]

0.00551971          [ 0.00728599 0.00121962 0.000524436 ]

0.000146324          [ 0.0460071 0.0129078 0.0197831 ]

0.00875675          [ 0.00403955 0.00459263 0.000330572 ]

0.00642601          [ 0.000293918 0.00550471 0.000450472 ]

0.00433394          [ 0.00748751 0.00574999 0.000716149 ]

2.27187e-05          [ 1.40559 1.10342 0.1375 ]

0.00733836          [ 0.00493629 0.00434542 0.000381117 ]

0.00394865          [ 0.00807575 0.00112851 0.000708287 ]

0.00709514          [ 0.00123917 0.00510551 0.000394182 ]

0.000227643          [ 0.0195749 0.0386223 0.0122858 ]

2.2476e-05          [ 1.09705 1.65296 0.1375 ]

0.000820463          [ 0.0095069 0.030053 0.00376672 ]

0.00187951          [ 0.019766 0.0107974 0.00164422 ]

0.00485406          [ 0.0041808 0.00160684 0.000636647 ]

0.00236512          [ 0.0102766 0.00728612 0.00120903 ]

0.000172327          [ 0.0810389 0.074269 0.0118581 ]

0.00208902          [ 0.0141455 0.0095804 0.00164333 ]

0.00318438          [ 0.00817972 0.00982642 0.000995971 ]

0.000560732          [ 0.0480531 0.0563333 0.00587733 ]

0.00497771          [ 0.00690641 0.00771267 0.000819003 ]

0.00881216          [ 0.00316061 0.00348166 0.000364697 ]

0.00355312          [ 0.00502062 0.00873501 0.00106584 ]

0.00439106          [ 0.00359578 0.00590477 0.000721015 ]

0.00270975          [ 0.0107187 0.00690952 0.00114195 ]

0.00243822          [ 0.0107453 0.0066046 0.00112882 ]

0.00107627          [ 0.0359405 0.00552087 0.00259846 ]

2.03393e-05          [ 0.292142 0.0981759 0.1375 ]

0.00708363          [ 0.00490379 0.00546073 0.000394805 ]

0.00835094          [ 0.000239114 0.00415961 0.000334891 ]

0.00547656          [ 0.00403071 0.00840616 0.000628506 ]

0.00147327          [ 0.00273496 0.0149833 0.00233633 ]

0.0111213          [ 0.00208129 0.00437877 0.000321838 ]

0.00156249          [ 0.00215321 0.014814 0.00229074 ]

0.00479089          [ 0.00960924 0.0058427 0.000718457 ]

0.00214293          [ 0.0130623 0.00188029 0.00160623 ]

0.00944952          [ 0.00515346 0.00305998 0.000378778 ]

0.00135654          [ 0.0213156 0.00248012 0.00263853 ]

0.00493308          [ 0.0040976 0.00561544 0.000788588 ]

0.00798438          [ 0.00326211 0.00285856 0.000338251 ]

0.00163799          [ 0.013757 0.00794728 0.00162663 ]

0.00328851          [ 0.0109883 0.0102405 0.0011971 ]

0.00587875          [ 0.00266852 0.00410456 0.000354588 ]

0.00100141          [ 0.0061821 0.0156654 0.00208159 ]

0.00612874          [ 0.00393432 0.00238583 0.000339882 ]

0.00119164          [ 0.0122706 0.00519157 0.00174805 ]

0.00723287          [ 0.00424415 0.00408159 0.000463038 ]

0.0027311          [ 0.0098521 0.00598559 0.00111689 ]

0.00287429          [ 0.00597203 0.00835472 0.0011056 ]

0.00467972          [ 0.00677971 0.0073646 0.000642385 ]

0.00330255          [ 0.0028045 0.00960687 0.000910261 ]

0.00311657          [ 0.0110607 0.00385091 0.000964782 ]

0.00157888          [ 0.00759979 0.0058662 0.001904 ]

0.00190598          [ 0.00040538 0.00982977 0.00154561 ]

0.00359457          [ 0.00521213 0.0117057 0.000819542 ]

0.00237233          [ 0.0101647 0.000325691 0.00124178 ]

0.00490996          [ 0.00856968 0.00491126 0.000599984 ]

0.00157103          [ 0.00915955 0.00723474 0.00159892 ]

0.00426592          [ 0.00655871 0.00738779 0.000571417 ]

0.00297768          [ 0.00132335 0.00939621 0.00081863 ]

0.00322691          [ 0.00976654 0.00231718 0.000755403 ]

0.000933559          [ 0.00800951 0.00422097 0.0026111 ]

0.00561729          [ 0.00163501 0.00718253 0.000541753 ]

0.000684378          [ 0.00572508 0.01342 0.00444664 ]

0.00873913          [ 0.00461675 0.00401415 0.000348225 ]

0.00473781          [ 0.0074043 0.000826989 0.000642319 ]

0.00530864          [ 0.00588945 0.00957175 0.000673299 ]

0.00331972          [ 0.000354506 0.00941795 0.00107669 ]

0.00413038          [ 0.0123023 0.00501766 0.000865369 ]

0.00220602          [ 0.00939466 0.000533477 0.00162025 ]

0.00523189          [ 0.00394323 0.00345457 0.000491888 ]

0.00265029          [ 0.0110918 0.00692737 0.00129476 ]

0.00505416          [ 0.00654351 0.00682519 0.000690571 ]

2.10451e-05          [ 1.30956 1.32386 0.1375 ]

0.00289271          [ 0.00582714 0.0118244 0.00124824 ]

0.00182548          [ 0.00854712 0.0164754 0.00173126 ]

0.00603403          [ 0.00461729 0.00240808 0.000479564 ]

0.00650944          [ 0.00529932 0.00271842 0.000536183 ]

0.00220935          [ 0.00700785 0.00688886 0.00139523 ]

0.00119898          [ 0.0149582 0.0137794 0.00295146 ]

0.00330226          [ 0.00726896 0.0115752 0.000917209 ]

0.00495036          [ 0.00117809 0.00484895 0.000611848 ]

2.20281e-05          [ 1.73525 0.910301 0.1375 ]

0.00162814          [ 0.0123161 0.00358199 0.00186033 ]

1.70677e-05          [ 0.781382 1.73306 0.1375 ]

0.00485907          [ 0.00608749 0.00428046 0.000482976 ]

0.000163114          [ 0.0279312 0.0817613 0.0143875 ]

0.00567165          [ 0.00366719 0.00080329 0.00041378 ]

0.00198945          [ 0.01063 0.0082049 0.00144528 ]

0.00474153          [ 0.00675928 0.00788362 0.000611033 ]

0.00293595          [ 0.00162167 0.0109162 0.000986813 ]

0.00410181          [ 0.00911314 0.00246043 0.000706329 ]

0.00104167          [ 0.00968849 0.00457068 0.00278133 ]

2.00097e-05          [ 0.168442 0.388123 0.1375 ]

0.0023526          [ 0.00330113 0.0155781 0.00116949 ]

0.00841839          [ 0.00383129 0.000400372 0.000326825 ]

0.0101349          [ 0.0036161 0.00318238 0.000271471 ]

0.00327341          [ 0.0100113 0.00710957 0.00101396 ]

0.00756137          [ 0.00206671 0.0028509 0.000281542 ]

0.00352785          [ 0.00233091 0.00388561 0.000529577 ]

0.00679149          [ 0.00541601 0.00695887 0.00052064 ]

0.000323188          [ 0.0129043 0.113812 0.0109407 ]

0.0110409          [ 0.00428053 0.00132677 0.000320256 ]

0.00167796          [ 0.00873012 0.00248547 0.00210728 ]

0.00269007          [ 0.00412277 0.00341174 0.000722008 ]

0.00407259          [ 0.00636447 0.00835083 0.000894786 ]

0.0017767          [ 0.018332 0.019312 0.00166806 ]

2.15538e-05          [ 0.408091 1.51112 0.1375 ]

0.00532214          [ 0.00644696 0.00197986 0.000556852 ]

0.00217584          [ 0.00484278 0.00404253 0.00136207 ]

0.00302093          [ 0.00717916 0.00915582 0.00111453 ]

0.00379699          [ 0.00407099 0.00971655 0.000750487 ]

0.0015824          [ 0.00287853 0.00976839 0.00180081 ]

0.00433009          [ 0.00852029 0.00600244 0.00065809 ]

0.00241559          [ 0.0107597 0.00188566 0.00117967 ]

0.00491252          [ 0.00518002 0.00864531 0.000607732 ]

0.0012715          [ 0.000751204 0.0200133 0.002348 ]

0.00845747          [ 0.00502163 0.00212575 0.000353001 ]

0.00359596          [ 0.00499963 0.00026562 0.000830237 ]

0.00204166          [ 0.00488739 0.0121947 0.00093772 ]

1.39237e-05          [ 0.211859 0.716649 0.1375 ]

0.00665477          [ 0.0037413 0.00268514 0.00028769 ]

0.00493908          [ 0.00361787 0.000597249 0.000387624 ]

0.00297953          [ 0.0125318 0.012465 0.00110699 ]

0.00584381          [ 0.00185423 0.00638949 0.000564413 ]

2.39878e-05          [ 1.54828 0.443418 0.1375 ]

0.00198413          [ 0.00536085 0.00546123 0.00166235 ]

0.00237298          [ 0.00618276 0.00459954 0.000821765 ]

0.00757504          [ 0.00408747 0.00485979 0.000369793 ]

0.00210519          [ 0.00186756 0.0147078 0.00133061 ]

0.00833889          [ 0.00441463 0.00117305 0.00033592 ]

0.000631611          [ 0.0154873 0.00622468 0.004435 ]

0.00685295          [ 0.00508235 0.00427476 0.000385714 ]

0.00155152          [ 0.0188814 0.00233233 0.00170368 ]

0.0091791          [ 0.000997157 0.00379439 0.000287967 ]

0.0006449          [ 0.00561117 0.0141929 0.00409874 ]

0.00143206          [ 0.00741586 0.0093031 0.00137592 ]

0.0105332          [ 0.00435018 0.00345159 0.000375063 ]

0.00554049          [ 0.0038096 0.00827023 0.000713041 ]

0.0048151          [ 0.00755046 0.00241783 0.000820461 ]

2.87316e-05          [ 0.405202 0.734628 0.1375 ]

0.00290913          [ 0.00725317 0.0111704 0.00147758 ]

0.00423898          [ 0.00570555 0.0045946 0.000776689 ]

2.85939e-05          [ 0.970692 1.35474 0.1375 ]

0.00279828          [ 0.00636351 0.00960471 0.00136083 ]

0.00362875          [ 0.0062945 0.0100079 0.000916191 ]

0.00241677          [ 0.00498219 0.00945065 0.00137551 ]

0.00134871          [ 0.0193258 0.0219146 0.00171239 ]

0.0035047          [ 0.00115175 0.0074371 0.000658976 ]

1.67965e-05          [ 1.75968 0.448197 0.1375 ]

0.00138112          [ 0.00545074 0.00292266 0.00167221 ]

1.8874e-05          [ 0.918088 1.48349 0.1375 ]

0.00071139          [ 0.0137436 0.0244304 0.00365868 ]

0.00458949          [ 0.00561132 0.0081068 0.000721738 ]

0.00548388          [ 0.00200121 0.00469615 0.000604027 ]

0.000971849          [ 0.0390241 0.0235363 0.00347498 ]

0.000233512          [ 0.100822 0.0493974 0.0148782 ]

2.2292e-05          [ 1.20683 1.62015 0.1375 ]

0.000381616          [ 0.0221888 0.0704968 0.00803205 ]

0.00359139          [ 0.0100564 0.00492329 0.000853475 ]

0.00440884          [ 0.00401045 0.00192059 0.000695229 ]

0.00416921          [ 1.32644 1.96458 0.0987946 ]

0.00249298          [ 1.5311e-37 1.79521e-35 1.33709e-36 ]

0.00414042          [ 1.97824 0.653964 0.0994814 ]

0.00123337          [ 1.77663e-35 3.09478e-37 2.70263e-36 ]

0.00264439          [ 0.00559264 0.00417521 0.000949855 ]

2.49845e-05          [ 1.77778e-35 1.12532e-33 1.33416e-34 ]

0.00450079          [ 0.770445 1.81469 0.0913428 ]

0.00495526          [ 7.77985e-36 8.96359e-38 6.72686e-37 ]

0.00924903          [ 0.883067 0.514074 0.0444495 ]

0.00914799          [ 0.00330938 0.00463439 0.000350417 ]

0.0046878          [ 0.000902707 0.00645808 0.000683821 ]

0.00597543          [ 0.00709495 0.00273669 0.000536465 ]

0.000316115          [ 0.051731 0.0133866 0.0101407 ]

0.00158064          [ 0.0152145 0.0104112 0.00153146 ]

2.07911e-05          [ 1.72339 1.78285 0.1375 ]

0.000854242          [ 0.00528526 0.0419451 0.00334657 ]

0.000604693          [ 0.0612994 0.00951064 0.00472765 ]

0.00177078          [ 0.00324774 0.00254967 0.00161442 ]

0.000950236          [ 0.0163727 0.0370833 0.00322139 ]

0.00703069          [ 0.00501201 0.00412006 0.000435388 ]

0.000287385          [ 0.0323151 0.0541361 0.0106515 ]

0.00659207          [ 0.00439419 0.0014088 0.000464357 ]

0.00801662          [ 0.00455081 0.0020866 0.00032498 ]

0.00383613          [ 0.0043605 0.000368172 0.000679134 ]

0.00282735          [ 0.00748652 0.0129033 0.000921444 ]

1.89472e-05          [ 0.0745416 1.11716 0.1375 ]

0.00587205          [ 0.00213208 0.00292924 0.000381523 ]

0.000933518          [ 0.0243021 0.0397414 0.00289315 ]

0.00365572          [ 0.000597734 0.00620574 0.00073879 ]

1.96423e-05          [ 1.88875 0.845018 0.1375 ]

0.000698976          [ 0.0237462 0.00312621 0.00386395 ]

0.00367044          [ 0.011969 0.000532678 0.000931139 ]

0.00508808          [ 0.00938598 0.00863421 0.000671704 ]

0.000402901          [ 0.00485272 0.0143465 0.0084827 ]

0.00526636          [ 0.00109757 0.00906824 0.000648965 ]

0.00316435          [ 0.00568035 0.00958069 0.000909026 ]

0.00837816          [ 0.00410283 0.00322013 0.000389167 ]

0.00243416          [ 0.00572233 0.0089029 0.00141924 ]

0.00290668          [ 0.0101561 0.00494009 0.00122763 ]

0.00713155          [ 0.00394404 0.00439404 0.000374304 ]

0.0021375          [ 0.00350449 0.0131589 0.00124882 ]

0.0063664          [ 0.00492213 0.0016807 0.000419289 ]

0.000656005          [ 0.0163109 0.0114189 0.00406912 ]

0.00200025          [ 0.00804199 0.012461 0.0015598 ]

0.00302341          [ 0.00551554 0.00828184 0.00107373 ]

0.00120669          [ 3.80048e-37 1.46438e-35 2.76239e-36 ]

0.00413514          [ 0.526806 1.97385 0.0993762 ]

0.00327038          [ 1.49818e-35 1.40228e-37 1.01925e-36 ]

0.0056602          [ 1.44202 1.06715 0.0726006 ]

0.00397934          [ 0.0122952 0.00105166 0.000896669 ]

0.000429993          [ 0.00973249 0.00691574 0.00829816 ]

0.00610647          [ 0.00781392 0.00801227 0.000584323 ]

0.00417748          [ 0.000711846 0.0114221 0.00085414 ]

0.00428581          [ 0.00813779 0.00732441 0.000753772 ]

0.00349446          [ 0.00446375 0.00998066 0.00092447 ]

0.00272323          [ 0.011523 0.00444625 0.00118587 ]

0.00168085          [ 0.00720609 0.00928003 0.00192195 ]

0.00362496          [ 0.00582408 0.0110526 0.000791541 ]

0.0024526          [ 0.000680964 0.00860802 0.0011699 ]

0.00489591          [ 0.00818341 0.00421235 0.000586062 ]

0.00235685          [ 0.00875036 0.000708629 0.00121743 ]

0.000281637          [ 0.0725297 0.0704475 0.00970451 ]

0.00495945          [ 0.00630087 0.0080287 0.000658092 ]

0.00289708          [ 0.00264238 0.0107863 0.00112657 ]

0.00378685          [ 0.0105148 0.00428437 0.000861871 ]

0.00172831          [ 0.00938734 0.00442928 0.00188842 ]

0.00477836          [ 0.00472963 0.00345698 0.000503079 ]

0.00133216          [ 0.016278 0.0144393 0.00213525 ]

0.00491009          [ 0.00501737 0.00923112 0.00068665 ]

0.00196232          [ 0.00189294 0.0125544 0.00171813 ]

0.00517219          [ 0.00876333 0.0047184 0.000651854 ]

0.00178069          [ 0.013705 0.00208601 0.00189337 ]

1.97709e-05          [ 1.81907 0.986116 0.1375 ]

1.97709e-05          [ 1.01388 1.81907 0.1375 ]

0.0013474          [ 0.0144696 0.0026549 0.00201758 ]

0.00284518          [ 0.00125729 0.00704539 0.000955476 ]

0.00434433          [ 0.00921939 0.00887042 0.000824847 ]

0.00720453          [ 0.00557108 0.0052008 0.000487438 ]

0.0040866          [ 0.0033246 0.00980085 0.00087687 ]

0.0083419          [ 0.00163163 0.00481149 0.000420979 ]

0.00384428          [ 0.0100243 0.0031398 0.000932143 ]

0.000831909          [ 0.0450401 0.0131543 0.00422133 ]

0.00142883          [ 0.00844767 0.00950873 0.00250794 ]

0.00097993          [ 0.0111673 0.0138896 0.00358369 ]

0.0053949          [ 0.00829423 0.000511554 0.000642093 ]

0.00210996          [ 0.0225721 0.0212073 0.00164175 ]

0.00056477          [ 0.00488656 0.00998515 0.00613352 ]

2.51929e-05          [ 0.223845 1.89045 0.1375 ]

2.31908e-05          [ 1.23297 1.80157 0.1375 ]

0.000666374          [ 0.00690553 0.0429094 0.00478521 ]

0.00197038          [ 0.021204 0.0090277 0.00161834 ]

0.00341432          [ 0.00520981 0.00134775 0.00093393 ]

0.000693983          [ 0.00966264 0.000819231 0.00353593 ]

0.00418875          [ 0.00838536 0.00160088 0.000585825 ]

0.00313549          [ 0.000181322 0.00924482 0.000782613 ]

0.00398516          [ 0.00727374 0.00881375 0.000615753 ]

0.00392166          [ 0.0089553 0.00738741 0.000625269 ]

0.00310677          [ 0.00932509 0.000176123 0.000789273 ]

0.00436127          [ 0.0015353 0.00805261 0.000562242 ]

0.000687377          [ 0.00079603 0.00974119 0.00356732 ]

0.0062226          [ 0.0068151 0.00588236 0.000617636 ]

0.000426389          [ 0.0979428 0.0825525 0.00893571 ]

2.77097e-05          [ 0.729708 1.50711 0.1375 ]

0.00641687          [ 0.00300754 0.00660878 0.000598938 ]

0.00699633          [ 0.00503113 0.00195213 0.000544584 ]

0.00319666          [ 0.0114506 0.00422157 0.00120229 ]

0.0012314          [ 0.0110913 0.0164204 0.00309412 ]

2.79513e-05          [ 0.482802 0.690451 0.1375 ]

0.00157326          [ 8.60727e-36 2.52765e-37 2.11875e-36 ]

0.00698612          [ 1.17158 0.239402 0.0589305 ]

2.23686e-05          [ 1.77778e-35 2.37499e-33 1.49019e-34 ]

0.00413933          [ 1.58514 1.97733 0.0994596 ]

0.00413958          [ 1.97754 1.58509 0.0994646 ]

2.21617e-05          [ 2.39696e-33 1.77778e-35 1.5041e-34 ]

0.00702231          [ 0.238273 1.16574 0.0586334 ]

0.0015587          [ 2.52765e-37 8.69051e-36 2.13853e-36 ]

0.00337083          [ 0.000269753 0.0069546 0.000923495 ]

0.007394          [ 0.00317052 0.0060008 0.00042101 ]

0.00146229          [ 0.014933 0.000621827 0.00212881 ]

0.00763026          [ 0.00581499 0.00286182 0.000407974 ]

0.00232776          [ 0.00754825 0.00393793 0.0009983 ]

0.00582977          [ 0.00375008 0.00464092 0.000562174 ]

0.00306369          [ 0.00931144 0.0141495 0.0010762 ]

2.39792e-05          [ 0.192197 1.18967 0.1375 ]

0.00441991          [ 0.00581366 0.00877606 0.000679915 ]

0.00428781          [ 0.00114793 0.00599276 0.000700861 ]

0.00731069          [ 0.00592964 0.0026579 0.000451003 ]

2.18557e-05          [ 1.77479 0.824298 0.1375 ]

0.00297934          [ 0.00652195 0.0015469 0.00110667 ]

0.00116984          [ 0.0154001 0.00420748 0.00256886 ]

0.00290662          [ 0.00870577 0.00640524 0.000865732 ]

0.00453253          [ 0.00913249 0.000701165 0.000655007 ]

5.19854e-05          [ 0.0611335 0.034429 0.057109 ]

0.0105365          [ 0.00379679 0.00392854 0.000281766 ]

0.00714975          [ 0.000250331 0.0055953 0.000415236 ]

0.000557613          [ 0.0350862 0.0477705 0.00511403 ]

0.00804117          [ 0.00453997 0.00521876 0.000394739 ]

0.00348303          [ 0.00120718 0.0104813 0.000911322 ]

